# Frequency (eV) 	 Current Real 	 Imaginary
0.0775411	-0.00124242	-0.0647142
0.0779086	-0.00122659	-0.0650251
0.0782761	-0.00121076	-0.0653362
0.0786435	-0.00119492	-0.0656475
0.079011	-0.00117908	-0.0659589
0.0793785	-0.00116323	-0.0662704
0.079746	-0.00114737	-0.0665821
0.0801135	-0.00113151	-0.0668939
0.080481	-0.00111564	-0.0672059
0.0808485	-0.00109977	-0.067518
0.081216	-0.00108389	-0.0678303
0.0815835	-0.001068	-0.0681427
0.081951	-0.0010521	-0.0684553
0.0823185	-0.0010362	-0.0687681
0.082686	-0.00102029	-0.069081
0.0830535	-0.00100437	-0.0693941
0.083421	-0.000988436	-0.0697073
0.0837885	-0.000972497	-0.0700208
0.0841559	-0.000956547	-0.0703344
0.0845234	-0.000940587	-0.0706481
0.0848909	-0.000924617	-0.0709621
0.0852584	-0.000908635	-0.0712762
0.0856259	-0.000892641	-0.0715905
0.0859934	-0.000876635	-0.0719049
0.0863609	-0.000860615	-0.0722196
0.0867284	-0.000844583	-0.0725344
0.0870959	-0.000828536	-0.0728495
0.0874634	-0.000812474	-0.0731647
0.0878309	-0.000796398	-0.0734801
0.0881984	-0.000780305	-0.0737956
0.0885659	-0.000764195	-0.0741114
0.0889334	-0.000748068	-0.0744274
0.0893009	-0.000731924	-0.0747436
0.0896683	-0.00071576	-0.07506
0.0900358	-0.000699577	-0.0753765
0.0904033	-0.000683374	-0.0756933
0.0907708	-0.00066715	-0.0760103
0.0911383	-0.000650904	-0.0763275
0.0915058	-0.000634636	-0.0766449
0.0918733	-0.000618344	-0.0769625
0.0922408	-0.000602028	-0.0772803
0.0926083	-0.000585688	-0.0775983
0.0929758	-0.000569321	-0.0779165
0.0933433	-0.000552927	-0.078235
0.0937108	-0.000536506	-0.0785537
0.0940783	-0.000520057	-0.0788725
0.0944458	-0.000503577	-0.0791917
0.0948133	-0.000487068	-0.079511
0.0951807	-0.000470527	-0.0798306
0.0955482	-0.000453953	-0.0801503
0.0959157	-0.000437347	-0.0804704
0.0962832	-0.000420706	-0.0807906
0.0966507	-0.000404029	-0.0811111
0.0970182	-0.000387316	-0.0814318
0.0973857	-0.000370566	-0.0817527
0.0977532	-0.000353777	-0.0820739
0.0981207	-0.000336949	-0.0823953
0.0984882	-0.00032008	-0.082717
0.0988557	-0.000303169	-0.0830389
0.0992232	-0.000286215	-0.0833611
0.0995907	-0.000269217	-0.0836834
0.0999582	-0.000252174	-0.0840061
0.100326	-0.000235085	-0.084329
0.100693	-0.000217948	-0.0846521
0.101061	-0.000200762	-0.0849755
0.101428	-0.000183527	-0.0852991
0.101796	-0.00016624	-0.085623
0.102163	-0.000148901	-0.0859471
0.102531	-0.000131509	-0.0862715
0.102898	-0.000114062	-0.0865962
0.103266	-9.65586e-05	-0.0869211
0.103633	-7.89981e-05	-0.0872463
0.104001	-6.1379e-05	-0.0875717
0.104368	-4.37e-05	-0.0878974
0.104736	-2.59599e-05	-0.0882234
0.105103	-8.15733e-06	-0.0885496
0.105471	9.70904e-06	-0.0888762
0.105838	2.76405e-05	-0.0892029
0.106206	4.56385e-05	-0.08953
0.106573	6.37042e-05	-0.0898573
0.106941	8.18391e-05	-0.0901849
0.107308	0.000100044	-0.0905127
0.107676	0.000118322	-0.0908409
0.108043	0.000136672	-0.0911693
0.108411	0.000155097	-0.091498
0.108778	0.000173599	-0.0918269
0.109145	0.000192177	-0.0921562
0.109513	0.000210835	-0.0924857
0.10988	0.000229573	-0.0928156
0.110248	0.000248392	-0.0931457
0.110615	0.000267295	-0.093476
0.110983	0.000286282	-0.0938067
0.11135	0.000305356	-0.0941377
0.111718	0.000324516	-0.0944689
0.112085	0.000343766	-0.0948004
0.112453	0.000363106	-0.0951323
0.11282	0.000382538	-0.0954644
0.113188	0.000402063	-0.0957968
0.113555	0.000421683	-0.0961295
0.113923	0.000441399	-0.0964625
0.11429	0.000461213	-0.0967958
0.114658	0.000481127	-0.0971294
0.115025	0.000501141	-0.0974633
0.115393	0.000521257	-0.0977975
0.11576	0.000541477	-0.0981319
0.116128	0.000561802	-0.0984667
0.116495	0.000582234	-0.0988018
0.116863	0.000602774	-0.0991372
0.11723	0.000623423	-0.0994729
0.117598	0.000644184	-0.0998089
0.117965	0.000665058	-0.100145
0.118333	0.000686045	-0.100482
0.1187	0.000707149	-0.100819
0.119068	0.00072837	-0.101156
0.119435	0.000749709	-0.101493
0.119803	0.000771169	-0.101831
0.12017	0.00079275	-0.102169
0.120538	0.000814455	-0.102508
0.120905	0.000836284	-0.102847
0.121273	0.00085824	-0.103186
0.12164	0.000880323	-0.103525
0.122008	0.000902536	-0.103865
0.122375	0.000924879	-0.104205
0.122743	0.000947355	-0.104545
0.12311	0.000969964	-0.104886
0.123478	0.000992709	-0.105227
0.123845	0.00101559	-0.105568
0.124213	0.00103861	-0.105909
0.12458	0.00106177	-0.106251
0.124948	0.00108507	-0.106593
0.125315	0.00110851	-0.106936
0.125683	0.0011321	-0.107279
0.12605	0.00115583	-0.107622
0.126418	0.00117971	-0.107965
0.126785	0.00120374	-0.108309
0.127153	0.00122791	-0.108653
0.12752	0.00125224	-0.108998
0.127888	0.00127672	-0.109342
0.128255	0.00130136	-0.109688
0.128623	0.00132615	-0.110033
0.12899	0.0013511	-0.110379
0.129358	0.0013762	-0.110725
0.129725	0.00140147	-0.111071
0.130093	0.0014269	-0.111418
0.13046	0.00145249	-0.111765
0.130828	0.00147824	-0.112112
