# Frequency (eV) 	 Current Real 	 Imaginary
0.0867284	-0.00326429	-0.00510689
0.0870959	-0.00256506	-0.00545491
0.0874634	-0.00183288	-0.00569573
0.0878309	-0.00108367	-0.00582711
0.0881984	-0.000333333	-0.00584911
0.0885659	0.000402608	-0.00576404
0.0889334	0.00110929	-0.00557635
0.0893009	0.00177281	-0.00529248
0.0896683	0.00238049	-0.0049207
0.0900358	0.00292109	-0.0044709
0.0904033	0.00338502	-0.00395434
0.0907708	0.00376448	-0.00338338
0.0911383	0.00405362	-0.00277124
0.0915058	0.00424856	-0.00213165
0.0918733	0.00434747	-0.00147863
0.0922408	0.00435053	-0.000826141
0.0926083	0.00425991	-0.000187817
0.0929758	0.00407966	0.000423297
0.0933433	0.00381562	0.000995016
0.0937108	0.00347521	0.00151624
0.0940783	0.00306729	0.00197715
0.0944458	0.00260195	0.00236941
0.0948133	0.00209021	0.00268629
0.0951807	0.00154387	0.00292277
0.0955482	0.000975158	0.00307563
0.0959157	0.000396544	0.00314345
0.0962832	-0.000179579	0.00312662
0.0966507	-0.000741124	0.00302732
0.0970182	-0.00127657	0.0028494
0.0973857	-0.00177517	0.00259828
0.0977532	-0.00222721	0.00228081
0.0981207	-0.00262411	0.0019051
0.0984882	-0.00295869	0.00148033
0.0988557	-0.00322519	0.00101652
0.0992232	-0.00341943	0.000524308
0.0995907	-0.00353887	1.47284e-05
0.0999582	-0.00358258	-0.000501051
0.100326	-0.00355129	-0.00101196
0.100693	-0.00344729	-0.00150725
0.101061	-0.0032744	-0.00197675
0.101428	-0.00303783	-0.00241103
0.101796	-0.00274405	-0.00280162
0.102163	-0.00240062	-0.00314115
0.102531	-0.00201602	-0.00342352
0.102898	-0.00159943	-0.00364399
0.103266	-0.00116055	-0.00379924
0.103633	-0.00070933	-0.00388745
0.104001	-0.000255809	-0.00390828
0.104368	0.000190155	-0.00386286
0.104736	0.000619073	-0.00375373
0.105103	0.00102203	-0.0035848
0.105471	0.00139087	-0.00336115
0.105838	0.00171836	-0.00308898
0.106206	0.00199833	-0.00277542
0.106573	0.00222579	-0.00242832
0.106941	0.00239701	-0.00205612
0.107308	0.00250958	-0.00166762
0.107676	0.00256243	-0.00127177
0.108043	0.00255586	-0.000877491
0.108411	0.00249144	-0.000493451
0.108778	0.002372	-0.0001279
0.109145	0.00220153	0.000211517
